refYear,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qty,primaryValue
2022,USA,Export,Colombia,282520,Lithium oxide and hydroxide,8790,314400
2022,USA,Export,Ecuador,282520,Lithium oxide and hydroxide,442,50400
2022,USA,Export,France,282520,Lithium oxide and hydroxide,806,456645
2022,USA,Export,Germany,282520,Lithium oxide and hydroxide,369336,6840692
2022,USA,Export,Guatemala,282520,Lithium oxide and hydroxide,450,17235
2022,USA,Export,Iceland,282520,Lithium oxide and hydroxide,440,10824
2022,USA,Export,Indonesia,282520,Lithium oxide and hydroxide,564,163275
2022,USA,Export,Israel,282520,Lithium oxide and hydroxide,1680,182098
2022,USA,Export,Italy,282520,Lithium oxide and hydroxide,4754,768210
2022,USA,Export,Japan,282520,Lithium oxide and hydroxide,4704202,135479950
2022,USA,Export,Rep. of Korea,282520,Lithium oxide and hydroxide,1056320,18502997
2022,USA,Export,Lithuania,282520,Lithium oxide and hydroxide,8571,150000
2022,USA,Export,Malaysia,282520,Lithium oxide and hydroxide,559,9788
2022,USA,Export,Mexico,282520,Lithium oxide and hydroxide,6299,359468
2022,USA,Export,"Other Asia, nes",282520,Lithium oxide and hydroxide,40000,3017200
2022,USA,Export,Netherlands,282520,Lithium oxide and hydroxide,282723,3506722
2022,USA,Export,Poland,282520,Lithium oxide and hydroxide,1332105,99820971
2022,USA,Export,India,282520,Lithium oxide and hydroxide,16261,374819
2022,USA,Export,Singapore,282520,Lithium oxide and hydroxide,205577,7799346
2022,USA,Export,South Africa,282520,Lithium oxide and hydroxide,1428,219420
2022,USA,Export,Spain,282520,Lithium oxide and hydroxide,231,31924
2022,USA,Export,Thailand,282520,Lithium oxide and hydroxide,100534,6409345
2022,USA,Export,United Kingdom,282520,Lithium oxide and hydroxide,41399,4582810
2023,Australia,Export,China,282520,Lithium oxide and hydroxide,1387130,28046808.11
2023,Australia,Export,Rep. of Korea,282520,Lithium oxide and hydroxide,9000,275137.828
2023,Australia,Export,Sweden,282520,Lithium oxide and hydroxide,940,42558.052
2023,Canada,Export,China,282520,Lithium oxide and hydroxide,36570,77311.898
2023,Canada,Export,France,282520,Lithium oxide and hydroxide,44672,4689069.161
2023,Canada,Export,Germany,282520,Lithium oxide and hydroxide,46,98.525
2023,Canada,Export,Israel,282520,Lithium oxide and hydroxide,2317,4960.336
2023,Canada,Export,Spain,282520,Lithium oxide and hydroxide,1211,2592.768
2023,Canada,Export,USA,282520,Lithium oxide and hydroxide,280,5079.603
2023,Chile,Export,Argentina,282520,Lithium oxide and hydroxide,0,4044531.2
2023,Chile,Export,Belgium,282520,Lithium oxide and hydroxide,1322692.152,58483364.34
2023,Chile,Export,Bolivia (Plurinational State of),282520,Lithium oxide and hydroxide,113.838,5636.228
2023,Chile,Export,Brazil,282520,Lithium oxide and hydroxide,5000,172341.85
2023,Chile,Export,China,282520,Lithium oxide and hydroxide,0,29240651.72
2023,Chile,Export,Colombia,282520,Lithium oxide and hydroxide,0,853011.38
2023,Chile,Export,Japan,282520,Lithium oxide and hydroxide,0,5412745.85
2023,Chile,Export,Rep. of Korea,282520,Lithium oxide and hydroxide,19939738.09,853570421.3
2023,Chile,Export,Mexico,282520,Lithium oxide and hydroxide,100762.288,4136254.32
2023,Chile,Export,Peru,282520,Lithium oxide and hydroxide,45537.278,2171403.211
2023,Chile,Export,Poland,282520,Lithium oxide and hydroxide,242267.897,7201222.89
2023,Chile,Export,South Africa,282520,Lithium oxide and hydroxide,128405.745,5260195.18
2023,Chile,Export,USA,282520,Lithium oxide and hydroxide,861023.849,39881503.78
2023,China,Export,Argentina,282520,Lithium oxide and hydroxide,2000,68906
2023,China,Export,Australia,282520,Lithium oxide and hydroxide,6511.021,438443
2023,China,Export,Bangladesh,282520,Lithium oxide and hydroxide,1000,50500
2023,China,Export,Brazil,282520,Lithium oxide and hydroxide,28000,902185
2023,China,Export,Canada,282520,Lithium oxide and hydroxide,27000,721800
2023,China,Export,Chile,282520,Lithium oxide and hydroxide,9000,227610
2023,China,Export,Colombia,282520,Lithium oxide and hydroxide,3000,80640
2023,China,Export,Croatia,282520,Lithium oxide and hydroxide,1600,91090
2023,China,Export,Czechia,282520,Lithium oxide and hydroxide,1,1
